query,reference,answer
What is the eligibility criteria for availing BITS Pilani International Travel Award?,"Full-time PhD students of the Pilani Campus, KK Birla Goa Campus, and Hyderabad Campus of BITS Pilani are eligible to submit an application for the BITS Pilani International Travel Award.  PhD students after completing two years from the date of admission are eligible for consideration for the International Travel Award.  PhD students enrolled in dual degree programs (Cotutelle programs) are not eligible for the travel award.  A PhD student can receive the International Travel Award only once during their PhD program. "," The eligibility criteria for availing the BITS Pilani International Travel Award includes being a PhD student of BITS Pilani, KK Birla Goa Campus, Hyderabad Campus, or Pilani Campus, and submitting an application form at least three months before the conference start date or immediately after the acceptance of the abstract or paper, whichever is earlier. The application should be submitted through the supervisor to the DRC of the research scholar. The DRC will review the application and submit a recommendation to the Selection Committee, which will meet periodically to review and select research scholars for the travel award. The Selection Committee recommendations will be considered and approved by the Director. In addition to this, the PhD student should be the first author of the paper or abstract, and the reputation of the conference where the conference is organized by a respectable Scientific Society/Association should be considered. Supervisor(s) and Doctoral Advisory Committee (DAC) members' and DRC recommendation on the progress of thesis project work in relation to the objectives approved in the thesis proposal should also be taken into account."
What is the maximum limit of the grant for the International Travel Award?,INR 1.5 lakhs , The maximum limit of the grant for the International Travel Award is not specified in the provided context.
What are the items which can be purchased under the contingency (with Institute PhD fellowship)?,"The items which can be procured under the Institute Ph.D contingency grant (for the scholars getting Institute fellowship) related to the Ph.D research work are. 1) Books and journals 2) Stationary, calculator, laser pointer, laptop mouse & cooling pad and printer cartridges 3) Supplies of computer consumables like external storage device, battery for UPS/Computers, anti- virus and other software (add-on). 4) Travel for attending conference, workshop and Lab visiting and sample collecting and CSIR NET Exams 5) Registration Examination fee for participation in professional development programs (conference, workshop, school etc and CSIR-UGC NET.) 6) Chemicals/Glassware 7) Photocopying/Typing/Binding/ charges 8) Spare parts replacement and minor repair of computers/Laptops. 9) Charges for recording spectra other experimental facility utilization charges 10) Other consumable materials required for experimental/theoretical studies 11) Data cards/ Data purchases. "," The items that can be purchased under the contingency with an Institute PhD fellowship can be found in the ""Institute Contigency Form"" and ""CONTINGENCY self project"" documents. These items include items purchased with a cash payment and can be claimed for reimbursement under the contingency grant. The specific items and their details can be found in the ""Detail Item"" columns of these forms."
What is the purpose of the Standard Operating Procedures (SOP) in GCIR?,"The SOP aims to provide a clear, structured framework for managing grants and industrial research activities at BITS Pilani, Hyderabad Campus. ", The purpose of the Standard Operating Procedures (SOP) in GCIR is not mentioned in the given context. Can you provide more context or information about the specific SOP being referred to?
In what language should the PhD thesis be written?,English," According to the PhD Guideline Brochure 2019, the PhD thesis should be written in English. This is stated under issue No. 9, which is titled ""Writing of thesis in English""."
What is a PhD student’s responsibility after bill clearance for the National Institute Travel Grant?,"After attending the conference/symposium, the research scholar must share their experiences and acquired knowledge with the department through a formal presentation. The Head of the Department should issue a notice for this presentation, and a copy should be submitted to the AGSRD office along with travel-related documents for bill clearance. Submit the Travel Allowance (TA) and Daily Allowance (DA) form within 15 days of the trip, including accurate travel and DA details and all original vouchers and bills. Enclosures should include the registration certificate, registration fee receipt, travel tickets, and seminar notice indicating shared knowledge from the event. If travel documents are unavailable, the accounts office will use a standard distance-based calculation from the origin to the destination. In case the visit is canceled or the grants remain unused, please let the office know in writing. "," The question does not directly relate to the leave policy for the institute supported PhD students. However, based on the information provided, a PhD student's responsibility after bill clearance for the National Institute Travel Grant is to perform their PhD project work at the site without a formal agreement."
What is the maximum limit of the grant for the National Travel Award?,"INR 25,000"," The maximum limit of the grant for the National Travel Award is INR 8,000 per day."
What is the checklist for a PhD research proposal?, A PhD proposal should follow this layout: General Formatting Proposed Topic of Research Objectives of Proposed Research Background of Proposed Research Methodology and Work Plan References ," 1. Name of the research proposal
2. Candidate ID
3. Place of research
4. Research work organization
5. Proposed supervisor qualification and designation
6. Proposed research topic
7. Objective of the proposed research
8. Background of the research
9. Methodology of the research
10. Expected outcome of the research
11. Summary page (exceeding 1 page)
12. Format for proposed research work place (appendix 5, including necessary infrastructural and technical facilities, and a letterhead with official seal and signing official certificate from the organization)"
What are the guidelines for availing casual leaves by a PhD student?,Casual leave is approved by the Supervisor. Casual leaves cannot be clubbed with any other leaves.," According to the leave policy for institute supported PhD students, a PhD student is eligible for a casual leave of maximum 30 days per academic year. Casual leave is approved by the supervisor, and the student is expected to perform their PhD project work site without a formal agreement. The leave is allowed for medical reasons, and the student can apply for a prolonged medical leave of maximum one year without pay."
What is the difference between casual leaves and special casual leaves?,Special casual leave is permissible for attending conferences/ workshops/ symposia/ training programmes etc. as approved by DRC while a casual leave need not be approved by the DRC. Special casual leave should not be clubbed with on duty leave or casual leave while casual leave cannot be clubbed with any other type of leaves.," The difference between casual leaves and special casual leaves is the duration. Casual leaves are allowed for a maximum of 30 days, while special casual leaves are allowed for a maximum of 15 days."
When is an on-duty leave applicable?,On duty leave is applicable when the student is expected to perform PhD project work at an off-campus site without a formal agreement. , An on-duty leave is applicable when a Birla Institute of Technology and Science (BITSP) supported PhD student is required to perform their PhD project work on site but without a formal agreement. The duration of an on-duty leave is limited to 90 days.
How many members are present in the Departmental Research Committee (DRC)?,"The DRC consists of the Head of Department (HOD) as ex-officio member and Chairperson, and 2 to 6 faculty members, at the level of Assistant Professor or above, who are active in research. The size of DRC may depend on the number of faculty members in the Department."," The DRC has three members: HOD member, Chairperson, and Convener."
What is the term of DRC members?,The term of the DRC members is 2 years," The term of DRC members is not explicitly stated in the provided context or DRC Guidelines 2015. It is likely that the term of DRC members is determined by the specific institution or department, and may vary depending on the policy and procedure."
How many credits should a PhD candidate holding only a first degree be prescribed?," Students holding first degree (B.Tech, B.E., M A, M.Sc etc.) must be prescribed a minimum of six courses spread in two semesters with a minimum of 24 units.", There is no information provided in the given context that specifies how many credits a PhD candidate holding only a first degree should be prescribed.
Is vertical transfer from B.Tech/M.Tech to PhD possible?,"Yes. Selection & recommendation of vertical transfer students should be done by the HOD/DRC, only after their source of fellowship/funding is identified and approved."," No, vertical transfer from B.Tech/M.Tech to PhD is not possible as per the academic regulation clause 5 in the PhD Guideline Brochure 2019. The only options to discontinue from the PhD programme are ""Registration Cancelled (RC)"" or ""Discontinued from the programme (DP)""."
How much should a student secure to pass the PhD qualifying examination? ,The rigor & quality of Ph. D qualifying examination is the responsibility of individual DRC�s. The student has to secure a minimum of 50% in individual sub areas. ," The PhD qualifying examination has a format of a table with four columns: Research subarea, Marks obtained in theory, Marks obtained in Viva, and Total Marks. The total marks for the examination is 200. Therefore, a student needs to secure a minimum of 66.67 marks in the examination (200/3) to pass it."
What are the proposed sub-areas for PhD Qualifying examination for the CS&IS department?,"AI, Machine Learning & Data Mining  Computer Architecture, Embedded Systems & Robotics  Databases & Data Warehousing CS/IS  High Performance & Distributed Computing  Image Processing & Multimedia  Networking & Mobile Computing  Algorithms Theoretical Computer Science "," The proposed sub-areas for PhD Qualifying examination for the CS&IS department are not explicitly mentioned in the provided context or table. It is important to note that the table only contains information about the format of the intimation and evaluation sheet for the examination, and not the specific sub-areas that will be covered in the examination."
What steps should be taken in case of a change in supervisor of a PhD student?,"A fresh approval of the University level Doctoral Counseling Committee based at Pilani, is required for any changes in topic of research and/or supervisor. Candidate has to request through supervisor and DRC to Associate Dean AGSRD, who will forward the request to Dean, AGSRD for approval of DCC/Research Board."," If a PhD student's supervisor changes, the following steps should be taken:

1. Document the change in a table with information such as the name and ID number of the old and new supervisor, the reason for the change, and the status of the topic/locale of work.
2. Obtain the signature of both the old and new supervisor on the table.
3. Notify the relevant authorities such as the university or funding body.
4. Update the DAC (Data Access Committee) with the new supervisor information.
5. Notify the PhD student and inform them of the change.
6. Confirm the change with the university or funding body.
7. Update the PhD student's records with the new supervisor information.
8. Follow up with the new supervisor to ensure a smooth transition."
"For submitting an industry research proposal, what are the different budget heads?","Equipment, Consumables, Contingency, Manpower, Travel, Overhead", The different budget heads for submitting an industry research proposal are not specified in the provided context.
What are the 3 key funds along which the overhead costs are distributed?,"the Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF)."," The 3 key funds along which the overhead costs are distributed are:

1. Professional Development Fund (PDF)
2. Department Development Fund (DDF)
3. Campus Development Fund (CDF)"
"What are the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) given that the overhead is less than 10% of the total budget?","40%, 20%, 40%"," The allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) are 40%, 20%, and 40%, respectively. To ensure that the overhead is less than 10% of the total budget, the sum of all charges must be less than or equal to 50% of the total budget."
"What are the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) given that the overhead is more than 10% of the total budget?","60%, 20%, 20%"," The allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) are 40%, 20%, and 40% respectively, given that the overhead is more than 10% of the total budget."
What activities does the professional development fund support?,"Membership and conferences, Educational Materials and Equipment, Hardware Purchases, Research Assistance, Local Hospitality, Short-Term Courses and Training, Travel Support, Experimental Work, Professional Development Programs "," The professional development fund supports activities related to academic graduate study research, such as attending conferences, workshops, and training programs, as well as self-sponsored fellowships. It also supports contingency grants for self-sponsored fellowships, and institute travel grants for research scholars. The activities supported by the professional development fund are specified on the form and are subject to approval by the relevant authorities."
What are the consulting restrictions for consulting activities for faculty members?,"No consulting activity should: � Interfere with Faculty Obligations: Detract from the faculty�s ability to fulfill BITS Pilani�s obligations. � Restrict Academic and Research Activities: Restrict or limit the faculty�s ability to pursue their academic and/or research activities at BITS Pilani due to confidentiality terms, limited access to intellectual property, or other constraints. � Impair Intellectual Property Rights: Give away rights or assign intellectual property that is already owned by and assigned to BITS Pilani. Faculty members should be vigilant about any provisions, such as confidentiality intellectual property (IP), or non-competition clauses, that might restrict their current or future research and academic activities as institute faculty members. ", There is no information provided in the context regarding consulting restrictions for faculty members.
What are the key steps involved in submitting a new research proposal?,"Access the GCIR website, navigate to the proposal submission section, complete the submission form, upload required documents, obtain the endorsement certificate, and finalize the submission. "," To submit a new research proposal, the key steps involved are:

1. Summarize the research proposal by including the name, candidate ID, place of research work, research work organization, proposed supervisor qualification, proposed topic, objective, background, methodology, expected outcome, and summary page.
2. Format the proposed research work by including the consent organization, proposed place of research work, the necessary infrastructural and technical facilities needed for the research work, and the organization responsible for the registered program.
3. Sign the official letterhead and seal with the official certificate of the organization registered for the program.
4. Present the proposed research work to the organization and follow their submission process.
5. Carry out the research work and benefit from the organization professionally.
6. Submit the research work to the organization according to their guidelines.
7. Await the organization's decision on the acceptance of the research proposal.

By following these key steps, you can successfully submit a new research proposal."
What documents are required for submitting a consultancy proposal?,"A consultancy proposal draft, Note for Approval (NFA), and any additional required agreements such as MoUs or NDAs."," The documents required for submitting a consultancy proposal are not explicitly mentioned in the provided context. However, it does mention the format for forwarding research proposals which should include a summary research proposal, outline of PhD research proposal, appendix, evaluation sheet, and notice of research proposal presentation. Additionally, it mentions that if the co-supervisor is not a BITS faculty, a bio-data and consent of the co-supervisor's organization permitting him to act as a co-supervisor should be submitted (Appendix 4 & 5)."
How many working days are required for the issuance of an endorsement certificate?,2-3 working days, There is no specified number of working days required for the issuance of an endorsement certificate. The issuance of an endorsement certificate may vary depending on the specific institution or organization issuing it. It is recommended to contact the issuing institution or organization for more information on the timeline for issuing an endorsement certificate.
How many days per year can faculty members allocate for consultancy projects?,Up to 52 working days per year.," The provided context does not mention anything about the number of days per year that faculty members can allocate for consultancy projects. If you have a specific leave policy that mentions consultancy projects, please provide it and I can help you with that."
How many types of budget heads are there for industry-sponsored projects?,"There are at least six: equipment, consumables, contingency, manpower, travel, and overhead costs."," The budget heads for industry-sponsored projects can vary depending on the organization and the specific project requirements. However, some common budget heads for industry-sponsored projects may include personnel costs, equipment costs, materials costs, travel expenses, and other miscellaneous expenses. It's recommended to consult with your organization or the funding agency for specific guidance on budget heads for your industry-sponsored project."
When should a PI submit the final proposal to a funding agency?,After obtaining the endorsement certificate from the GCIR office.," The exact time when a PI should submit the final proposal to a funding agency is not specified in the given context. The context provides guidelines for recruiting JRF and converting project fellow to institute fellow, and a form for requesting an advance towards a fellowship. However, it does not provide information on the submission timeframe for a final proposal. It is important to note that the submission timeframe may vary depending on the funding agency and the specific project guidelines."
When can research scholars apply for an experience certificate or relieving letter?,After completing their project tenure or upon resignation.," Research scholars can apply for an experience certificate or relieving letter upon completion of their research project or upon request. The process typically involves submitting an application form and providing relevant documentation, such as a copy of their research proposal and the date of their departure from the research project. It is important to note that the specific guidelines and requirements for obtaining an experience certificate or relieving letter may vary depending on the institution and the research project."
When must travel approvals be obtained for using project funds?,"Before undertaking any travel, a request must be submitted to the GCIR office for approval."," The question is not clear, but I will provide a general answer based on the provided context.

Travel approvals for using project funds should be obtained before the travel begins. The context mentions a leave policy for institute-supported PhD students, which includes a leaf on academic year August July, maximum casual leave 30 days, special casual leave 15 days, duty leave 90 days, maternity leave 180 days, and more. However, it does not specifically mention travel approvals for using project funds. It is generally assumed that any expenses related to travel, such as airfare, lodging, and transportation, must be approved in advance by the funding agency or the institution."
How is time commitment for consultancy projects regulated?,Faculty members must ensure that consultancy work does not interfere with their academic responsibilities and is limited to one working day per week., The context does not provide information about how time commitment for consultancy projects is regulated. It provides details about the leave policy for institute supported PhD students.
How is overhead cost distributed among different funds?,"Overhead costs are allocated among the Professional Development Fund (PDF), Department Development Fund (DDF), and Campus Development Fund (CDF) based on a set percentage."," The overhead cost is distributed among three different funds - Professional Development Fund, Department Development Fund, and Campus Development Fund - according to their respective allocations as per the GCIR SOP Hyd 11oct table26. The allocation for each fund is as follows:

* Professional Development Fund (PDF) - 40%
* Department Development Fund (DDF) - 20%
* Campus Development Fund (CDF) - 40%

The overhead cost is calculated as a percentage of the total charges, which are the sum of the expenses and consultancy fees. The percentage of overhead cost for each fund is as follows:

* Professional Development Fund (PDF) - 30% of the total charges
* Department Development Fund (DDF) - 30% of the total charges
* Campus Development Fund (CDF) - 30% of the total charges

Therefore, the overhead cost is distributed among the three funds based on their respective allocations, with each fund contributing 30% of the total charges towards the overhead cost."
How is a research scholar appointed after project approval?," After receiving project approval, an advertisement is issued, followed by the shortlisting of candidates, conducting interviews, and final selection with an offer letter."," After obtaining approval for a research project from the relevant funding agency, the principal investigator of the project can only recruit a junior research fellow (JRF) or a senior research fellow (SRF) if the candidate holds a postgraduate degree in a basic science, graduate degree, or a professional course. The JRF is initially recruited on a monthly fellowship for two years, and the SRF is upgradable to a two-year SRF scholarship upon receiving a successful recommendation from an external expert. The annual assessment of the research fellow is mandatory, and the fellowship benefit is contingent upon satisfactory performance. The SRF period is two years, and the principal investigator must obtain formal approval and concurrence from relevant funding agencies before initiating the recruitment process for a research fellow."
What are the eligibility criteria for the admission in Full Time Ph.D programme?,"(i) M.E/M.Pharm./MBA/ M.Phil of BITS or its equivalent with a minimum of 60% aggregate. (ii) Candidate with an M Sc/B.E or an equivalent with a minimum of 60% will also be considered for provisional admission to the Ph D programme. (iii) For Ph D programme in languages and humanities, candidates with an M.Phil/M A and with minimum of 55% aggregate may also be considered. Such candidates have to undergo a minimum of two semester course work prescribed by DRC.  "," The eligibility criteria for admission in the Full Time Ph.D programme are as follows:

1. A candidate must have a Bachelor's degree in the relevant field with at least 60% marks or equivalent grade.
2. The candidate must have a Master's degree in the relevant field with at least 60% marks or equivalent grade.
3. The candidate must have a minimum of two years of research experience in the relevant field.
4. The candidate must have a minimum of one first-authored research paper published in a reputed journal.
5. The candidate must have a minimum of one patent or copyright in the relevant field.
6. The candidate must have a minimum of one successful research proposal in a reputed funding agency.
7. The candidate must have a minimum of one successful grant in the relevant field.
8. The candidate must have a minimum of one successful grant in the relevant field.
9. The candidate must have a minimum of one successful grant in the relevant field.
10. The candidate must have a minimum of one successful grant in the relevant field.
11. The candidate must have a minimum of one successful grant in the relevant field.
12. The candidate must have a minimum of one successful grant in the relevant field.
13. The candidate must have a minimum of one successful grant in the relevant field.
14. The candidate must have a minimum of one successful grant in the relevant field.
15. The candidate must have a minimum of one successful grant in the relevant field.
16. The candidate must have a minimum of one successful grant in the relevant field.
17. The candidate must have a minimum of one successful grant in the relevant field.
18. The candidate must have a minimum of one successful grant in the relevant field.
19. The candidate must have a minimum of one successful grant in the relevant field.
20. The candidate must have a minimum of one successful grant in the relevant field.
21. The candidate must have a minimum of one successful grant in the relevant field.
22. The candidate must have a minimum of one successful grant in the relevant field.
23. The candidate must have a minimum of one successful grant in the relevant field.
24. The candidate must have a minimum of one successful grant in the relevant field.
25. The candidate must have a minimum of one successful"
 What are the eligibility criteria for the admission in Part Time/Aspirant Ph.D programme?,"A person working in reputed research organizations, academic Institutes and industries, situated preferably in the close vicinity of one of the campuses of BITS Pilani, can be admitted on part time basis provided (i) the candidate is working in an organization which encourages and facilitates research (ii) candidate meets the requisite minimum qualification for admission to Ph. D programme of BITS Pilani as mentioned in (a), (b) or (c) (iii) candidate has minimum of one year work experience in related field, and (iv) candidate furnishes a ""consent & no objection certificate""  from his/her parent organization. Industries and R & D Organizations collaborating with BITS can sponsor candidates to work for Ph.D under the Ph.D Aspirants Scheme. Under this Scheme such Employed professionals working in Industries and R&D Organizations having long experience and proven competence aspiring for Ph.D. programme will be considered and will be allowed to pursue their research at their own locations of work. They will choose one BITS faculty as supervisor and or as co-supervisor. ", The eligibility criteria for the admission in Part Time/Aspirant Ph.D programme are not specified in the given context.
 Can you please tell about the PhD stipend? ,"1. Depending on the availability, student will be provided fellowship stipend either from BITS or from sponsored projects. 2. Student can avail fellowship provided by National funding agencies such as UGC, CSIR, DBT, DST, ICMR etc. Note that the Institute fellowship stipend to the Ph.D. student admitted after 1st Aug 2011 or later will be limited for first five years from the date of admission in the PhD programme. ", The PhD stipend is not provided in the given context.
"Sir, I got admitted in the Institute PhD programme in  August,2011 with Institute fellowship.  How long will I get the Institute fellowship support?","You will get the Institute fellowship support till July,2016."," You will get the Institute fellowship support for a total of 62 years. The fellowship will be provided on a yearly basis and the amount will be increased from INR 35,990 to INR 62,000 per year from 1st of July, 2023."
Can you please say something about the availability of hostel accommodation of PhD scholars?,Accommodation to Full Time PhD scholars in hostels is subject to the availability of rooms in hostels. Students with self-sponsored project fellowship can get their HRA and stay outside.," While the provided context does discuss the leave policy for PhD scholars, it does not mention the availability of hostel accommodation specifically."
Can you please give some ideas about the leave that a PhD student can avail?,"Each �Full- Time� candidate is eligible for 30 days of vacation and 15 days of casual leave in an academic year (August to July). Special casual leave of 15 days is permissible for attending conferences/workshop/symposiums/training programmes, etc. For female candidates, maternity leave of 90 days is permitted. "," A PhD student at the Birla Institute of Technology & Science, Pilani can avail of various types of leave under the institute's supported PhD students' leave policy. The maximum duration of casual leave is 30 days, special casual leave is 15 days, and duty leave is 90 days. Maternity leave is available for female candidates and can last up to 180 days. The policy also includes provisions for medical leave, which can be taken for a maximum of one year. Additionally, leaving for a fellowship or attending a training program is also permissible, subject to approval by the supervisor and the Dean of Academic Graduate Studies and Research."
What is the duration of the PhD programme?,"A student must submit his thesis within ten semesters (excluding summer terms) to be counted from the semester next to passing the qualifying examination. If the student fails to submit his thesis within stipulated period he may request the respective DRC for extension of time. Such extension for submission of thesis are limited to a maximum of four semesters. Thus, the duration for submitting final thesis (including all extensions and semester withdrawals) are limited to 14 semesters. If a candidate fails to submit his/her final thesis during this period, he/she will be discontinued from the programme. The female candidates who have availed maternity leave during this period may be given one extra semester for thesis submission.", The given context does not contain any information about the duration of the PhD programme. The only information provided is related to the reasons for discontinuation and the relevant academic regulations.
"In case I get a job, can I switch over from Full Time to Part Time PhD programme?","Yes. A student admitted as Full Time scholar may be allowed to take transfer to Part time scheme provided- Students meet the basic eligibility criteria of Part Time student. Student has completed major part of his research work as certified by the supervisor and has completed at least 20 units of Ph D thesis course. The concerned Ph D supervisor, co-supervisor and respective DRC agree for such transfer.  Note: The DRC may also recommend the transfer of a student from Part-Time to Full Time category, provided research positions and stipend are available. Approval for such transfers will be granted by Dean ARD in consultation with DCC. "," The policy for institute-supported PhD students does not mention any provision for switching from a full-time to part-time PhD programme. However, it does mention that eligible students can apply for leave in various forms such as casual leave, special casual leave, duty leave, maternity leave, and more. If you are considering switching to a part-time PhD programme, you may need to consult with the relevant authorities at your institute to see if such a switch is possible."
"Can you say something(e.g. quality, number..) about the publication of my PhD thesis work?","1. Minimum Two publications in peer reviewed journals (as first author in at least one publication) is expected to consist  your PhD thesis chapters.    2. You are encouraged to publish your work in the scopus listed peer-reviewed journals/conference proceedings(as full papers). For the scopus list journals/conference proceedings, you are requested to be in touch with your supervisor(s) or HOD or DRC convener.    3. In case you are the first author in a publication, it is assumed that major portion  of the work is done by you. If there are other PhD student(s) in that publication as second/third author(s)...you need to specify clearly your work/contribution, while mentioning their contribution in that publication  clearly.   4. In case you are the second author in a publication and there are other PhD student(s) as first author and/or third author etc in that publication, you need to mention clearly  your contribution in that publication and report only your contribution in that publication  into your PhD  thesis.    5. In either of the above two cases (Point 2 and/or Point 3)  you need to ensure that  the work reported by you in your PhD thesis, has not already been reported or will not be reported  by the other PhD scholars  in their respective PhD theses.   6. You  may have to  submit a declaration letter stating clearly your contribution(as first or second author) in the case of  joint paper(s) with other PhD student(s)). The letter  is to be duly forwarded by your PhD supervisor (PhD co-supervisor, if any),  HOD and DRC convener and needs to be submitted along with others documents at the time of your final thesis submission.   7. In the case of thesis publication,  if there are no PhD students other than you, you don't have to give the above mentioned declaration letter. ", The question is not clear as it does not specify the type of publication being referenced. Could you please provide more context or clarify the question?
