query,reference
What is the eligibility criteria for availing BITS Pilani International Travel Award?,"Full-time PhD students of the Pilani Campus, KK Birla Goa Campus, and Hyderabad Campus of BITS Pilani are eligible to submit an application for the BITS Pilani International Travel Award.  PhD students after completing two years from the date of admission are eligible for consideration for the International Travel Award.  PhD students enrolled in dual degree programs (Cotutelle programs) are not eligible for the travel award.  A PhD student can receive the International Travel Award only once during their PhD program. "
What is the maximum limit of the grant for the International Travel Award?,INR 1.5 lakhs 
What are the items which can be purchased under the contingency (with Institute PhD fellowship)?,"The items which can be procured under the Institute Ph.D contingency grant (for the scholars getting Institute fellowship) related to the Ph.D research work are. 1) Books and journals 2) Stationary, calculator, laser pointer, laptop mouse & cooling pad and printer cartridges 3) Supplies of computer consumables like external storage device, battery for UPS/Computers, anti- virus and other software (add-on). 4) Travel for attending conference, workshop and Lab visiting and sample collecting and CSIR NET Exams 5) Registration Examination fee for participation in professional development programs (conference, workshop, school etc and CSIR-UGC NET.) 6) Chemicals/Glassware 7) Photocopying/Typing/Binding/ charges 8) Spare parts replacement and minor repair of computers/Laptops. 9) Charges for recording spectra other experimental facility utilization charges 10) Other consumable materials required for experimental/theoretical studies 11) Data cards/ Data purchases. "
What is the purpose of the Standard Operating Procedures (SOP) in GCIR?,"The SOP aims to provide a clear, structured framework for managing grants and industrial research activities at BITS Pilani, Hyderabad Campus. "
In what language should the PhD thesis be written?,English
What is a PhD student’s responsibility after bill clearance for the National Institute Travel Grant?,"After attending the conference/symposium, the research scholar must share their experiences and acquired knowledge with the department through a formal presentation. The Head of the Department should issue a notice for this presentation, and a copy should be submitted to the AGSRD office along with travel-related documents for bill clearance. Submit the Travel Allowance (TA) and Daily Allowance (DA) form within 15 days of the trip, including accurate travel and DA details and all original vouchers and bills. Enclosures should include the registration certificate, registration fee receipt, travel tickets, and seminar notice indicating shared knowledge from the event. If travel documents are unavailable, the accounts office will use a standard distance-based calculation from the origin to the destination. In case the visit is canceled or the grants remain unused, please let the office know in writing. "
What is the maximum limit of the grant for the National Travel Award?,"INR 25,000"
What is the checklist for a PhD research proposal?, A PhD proposal should follow this layout: General Formatting Proposed Topic of Research Objectives of Proposed Research Background of Proposed Research Methodology and Work Plan References 
What are the guidelines for availing casual leaves by a PhD student?,Casual leave is approved by the Supervisor. Casual leaves cannot be clubbed with any other leaves.
What is the difference between casual leaves and special casual leaves?,Special casual leave is permissible for attending conferences/ workshops/ symposia/ training programmes etc. as approved by DRC while a casual leave need not be approved by the DRC. Special casual leave should not be clubbed with on duty leave or casual leave while casual leave cannot be clubbed with any other type of leaves.
When is an on-duty leave applicable?,On duty leave is applicable when the student is expected to perform PhD project work at an off-campus site without a formal agreement. 
How many members are present in the Departmental Research Committee (DRC)?,"The DRC consists of the Head of Department (HOD) as ex-officio member and Chairperson, and 2 to 6 faculty members, at the level of Assistant Professor or above, who are active in research. The size of DRC may depend on the number of faculty members in the Department."
What is the term of DRC members?,The term of the DRC members is 2 years
How many credits should a PhD candidate holding only a first degree be prescribed?," Students holding first degree (B.Tech, B.E., M A, M.Sc etc.) must be prescribed a minimum of six courses spread in two semesters with a minimum of 24 units."
Is vertical transfer from B.Tech/M.Tech to PhD possible?,"Yes. Selection & recommendation of vertical transfer students should be done by the HOD/DRC, only after their source of fellowship/funding is identified and approved."
How much should a student secure to pass the PhD qualifying examination? ,The rigor & quality of Ph. D qualifying examination is the responsibility of individual DRC�s. The student has to secure a minimum of 50% in individual sub areas. 
What are the proposed sub-areas for PhD Qualifying examination for the CS&IS department?,"AI, Machine Learning & Data Mining  Computer Architecture, Embedded Systems & Robotics  Databases & Data Warehousing CS/IS  High Performance & Distributed Computing  Image Processing & Multimedia  Networking & Mobile Computing  Algorithms Theoretical Computer Science "
What steps should be taken in case of a change in supervisor of a PhD student?,"A fresh approval of the University level Doctoral Counseling Committee based at Pilani, is required for any changes in topic of research and/or supervisor. Candidate has to request through supervisor and DRC to Associate Dean AGSRD, who will forward the request to Dean, AGSRD for approval of DCC/Research Board."
"For submitting an industry research proposal, what are the different budget heads?","Equipment, Consumables, Contingency, Manpower, Travel, Overhead"
What are the 3 key funds along which the overhead costs are distributed?,"the Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF)."
"What are the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) given that the overhead is less than 10% of the total budget?","40%, 20%, 40%"
"What are the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) given that the overhead is more than 10% of the total budget?","60%, 20%, 20%"
What activities does the professional development fund support?,"Membership and conferences, Educational Materials and Equipment, Hardware Purchases, Research Assistance, Local Hospitality, Short-Term Courses and Training, Travel Support, Experimental Work, Professional Development Programs "
What are the consulting restrictions for consulting activities for faculty members?,"No consulting activity should: � Interfere with Faculty Obligations: Detract from the faculty�s ability to fulfill BITS Pilani�s obligations. � Restrict Academic and Research Activities: Restrict or limit the faculty�s ability to pursue their academic and/or research activities at BITS Pilani due to confidentiality terms, limited access to intellectual property, or other constraints. � Impair Intellectual Property Rights: Give away rights or assign intellectual property that is already owned by and assigned to BITS Pilani. Faculty members should be vigilant about any provisions, such as confidentiality intellectual property (IP), or non-competition clauses, that might restrict their current or future research and academic activities as institute faculty members. "
What are the key steps involved in submitting a new research proposal?,"Access the GCIR website, navigate to the proposal submission section, complete the submission form, upload required documents, obtain the endorsement certificate, and finalize the submission. "
What documents are required for submitting a consultancy proposal?,"A consultancy proposal draft, Note for Approval (NFA), and any additional required agreements such as MoUs or NDAs."
How many working days are required for the issuance of an endorsement certificate?,2-3 working days
How many days per year can faculty members allocate for consultancy projects?,Up to 52 working days per year.
How many types of budget heads are there for industry-sponsored projects?,"There are at least six: equipment, consumables, contingency, manpower, travel, and overhead costs."
When should a PI submit the final proposal to a funding agency?,After obtaining the endorsement certificate from the GCIR office.
When can research scholars apply for an experience certificate or relieving letter?,After completing their project tenure or upon resignation.
When must travel approvals be obtained for using project funds?,"Before undertaking any travel, a request must be submitted to the GCIR office for approval."
How is time commitment for consultancy projects regulated?,Faculty members must ensure that consultancy work does not interfere with their academic responsibilities and is limited to one working day per week.
How is overhead cost distributed among different funds?,"Overhead costs are allocated among the Professional Development Fund (PDF), Department Development Fund (DDF), and Campus Development Fund (CDF) based on a set percentage."
How is a research scholar appointed after project approval?," After receiving project approval, an advertisement is issued, followed by the shortlisting of candidates, conducting interviews, and final selection with an offer letter."
What are the eligibility criteria for the admission in Full Time Ph.D programme?,"(i) M.E/M.Pharm./MBA/ M.Phil of BITS or its equivalent with a minimum of 60% aggregate. (ii) Candidate with an M Sc/B.E or an equivalent with a minimum of 60% will also be considered for provisional admission to the Ph D programme. (iii) For Ph D programme in languages and humanities, candidates with an M.Phil/M A and with minimum of 55% aggregate may also be considered. Such candidates have to undergo a minimum of two semester course work prescribed by DRC.  "
 What are the eligibility criteria for the admission in Part Time/Aspirant Ph.D programme?,"A person working in reputed research organizations, academic Institutes and industries, situated preferably in the close vicinity of one of the campuses of BITS Pilani, can be admitted on part time basis provided (i) the candidate is working in an organization which encourages and facilitates research (ii) candidate meets the requisite minimum qualification for admission to Ph. D programme of BITS Pilani as mentioned in (a), (b) or (c) (iii) candidate has minimum of one year work experience in related field, and (iv) candidate furnishes a ""consent & no objection certificate""  from his/her parent organization. Industries and R & D Organizations collaborating with BITS can sponsor candidates to work for Ph.D under the Ph.D Aspirants Scheme. Under this Scheme such Employed professionals working in Industries and R&D Organizations having long experience and proven competence aspiring for Ph.D. programme will be considered and will be allowed to pursue their research at their own locations of work. They will choose one BITS faculty as supervisor and or as co-supervisor. "
 Can you please tell about the PhD stipend? ,"1. Depending on the availability, student will be provided fellowship stipend either from BITS or from sponsored projects. 2. Student can avail fellowship provided by National funding agencies such as UGC, CSIR, DBT, DST, ICMR etc. Note that the Institute fellowship stipend to the Ph.D. student admitted after 1st Aug 2011 or later will be limited for first five years from the date of admission in the PhD programme. "
"Sir, I got admitted in the Institute PhD programme in  August,2011 with Institute fellowship.  How long will I get the Institute fellowship support?","You will get the Institute fellowship support till July,2016."
Can you please say something about the availability of hostel accommodation of PhD scholars?,Accommodation to Full Time PhD scholars in hostels is subject to the availability of rooms in hostels. Students with self-sponsored project fellowship can get their HRA and stay outside.
Can you please give some ideas about the leave that a PhD student can avail?,"Each �Full- Time� candidate is eligible for 30 days of vacation and 15 days of casual leave in an academic year (August to July). Special casual leave of 15 days is permissible for attending conferences/workshop/symposiums/training programmes, etc. For female candidates, maternity leave of 90 days is permitted. "
What is the duration of the PhD programme?,"A student must submit his thesis within ten semesters (excluding summer terms) to be counted from the semester next to passing the qualifying examination. If the student fails to submit his thesis within stipulated period he may request the respective DRC for extension of time. Such extension for submission of thesis are limited to a maximum of four semesters. Thus, the duration for submitting final thesis (including all extensions and semester withdrawals) are limited to 14 semesters. If a candidate fails to submit his/her final thesis during this period, he/she will be discontinued from the programme. The female candidates who have availed maternity leave during this period may be given one extra semester for thesis submission."
"In case I get a job, can I switch over from Full Time to Part Time PhD programme?","Yes. A student admitted as Full Time scholar may be allowed to take transfer to Part time scheme provided- Students meet the basic eligibility criteria of Part Time student. Student has completed major part of his research work as certified by the supervisor and has completed at least 20 units of Ph D thesis course. The concerned Ph D supervisor, co-supervisor and respective DRC agree for such transfer.  Note: The DRC may also recommend the transfer of a student from Part-Time to Full Time category, provided research positions and stipend are available. Approval for such transfers will be granted by Dean ARD in consultation with DCC. "
"Can you say something(e.g. quality, number..) about the publication of my PhD thesis work?","1. Minimum Two publications in peer reviewed journals (as first author in at least one publication) is expected to consist  your PhD thesis chapters.    2. You are encouraged to publish your work in the scopus listed peer-reviewed journals/conference proceedings(as full papers). For the scopus list journals/conference proceedings, you are requested to be in touch with your supervisor(s) or HOD or DRC convener.    3. In case you are the first author in a publication, it is assumed that major portion  of the work is done by you. If there are other PhD student(s) in that publication as second/third author(s)...you need to specify clearly your work/contribution, while mentioning their contribution in that publication  clearly.   4. In case you are the second author in a publication and there are other PhD student(s) as first author and/or third author etc in that publication, you need to mention clearly  your contribution in that publication and report only your contribution in that publication  into your PhD  thesis.    5. In either of the above two cases (Point 2 and/or Point 3)  you need to ensure that  the work reported by you in your PhD thesis, has not already been reported or will not be reported  by the other PhD scholars  in their respective PhD theses.   6. You  may have to  submit a declaration letter stating clearly your contribution(as first or second author) in the case of  joint paper(s) with other PhD student(s)). The letter  is to be duly forwarded by your PhD supervisor (PhD co-supervisor, if any),  HOD and DRC convener and needs to be submitted along with others documents at the time of your final thesis submission.   7. In the case of thesis publication,  if there are no PhD students other than you, you don't have to give the above mentioned declaration letter. "
